index,normal5Price,resourceGroupName
1,100,"5座经济100+5座舒适150+7座200+9座250+12座350+14座350+19座450"
2,150,"5座经济150+5座舒适200+7座300+9座400+12座500+14座500+19座650"
3,200,"5座经济200+5座舒适250+7座400+9座500+12座650+14座700+19座850"
4,250,"5座经济250+5座舒适300+7座500+9座650+12座800+14座850+19座1050"
5,300,"5座经济300+5座舒适350+7座600+9座750+12座950+14座1000+19座1250"
6,350,"5座经济350+5座舒适400+7座700+9座900+12座1150+14座1200+19座1450"
7,400,"5座经济400+5座舒适450+7座800+9座1000+12座1300+14座1350+19座1650"
8,450,"5座经济450+5座舒适500+7座900+9座1150+12座1450+14座1500+19座1850"
9,500,"5座经济500+5座舒适550+7座1000+9座1250+12座1600+14座1700+19座2050"
10,550,"5座经济550+5座舒适600+7座1100+9座1400+12座1750+14座1850+19座2250"
11,600,"5座经济600+5座舒适650+7座1200+9座1500+12座1900+14座2000+19座2450"
12,650,"5座经济650+5座舒适750+7座1300+9座1650+12座2100+14座2200+19座2700"
13,700,"5座经济700+5座舒适800+7座1400+9座1750+12座2250+14座2350+19座2900"
14,750,"5座经济750+5座舒适850+7座1500+9座1900+12座2400+14座2500+19座3100"
15,800,"5座经济800+5座舒适900+7座1600+9座2000+12座2550+14座2700+19座3300"
16,850,"5座经济850+5座舒适950+7座1700+9座2150+12座2700+14座2850+19座3500"
17,900,"5座经济900+5座舒适1000+7座1800+9座2250+12座2850+14座3000+19座3700"
18,950,"5座经济950+5座舒适1050+7座1900+9座2400+12座3050+14座3200+19座3900"
19,1000,"5座经济1000+5座舒适1100+7座2000+9座2500+12座3200+14座3350+19座4100"
20,1050,"5座经济1050+5座舒适1150+7座2100+9座2650+12座3350+14座3500+19座4300"
21,1100,"5座经济1100+5座舒适1200+7座2200+9座2750+12座3500+14座3700+19座4500"
22,1150,"5座经济1150+5座舒适1250+7座2300+9座2900+12座3650+14座3850+19座4700"
23,1200,"5座经济1200+5座舒适1300+7座2400+9座3000+12座3800+14座4000+19座4900"
24,1250,"5座经济1250+5座舒适1400+7座2500+9座3150+12座4000+14座4200+19座5150"
25,1300,"5座经济1300+5座舒适1450+7座2600+9座3250+12座4150+14座4350+19座5350"
26,1350,"5座经济1350+5座舒适1500+7座2700+9座3400+12座4300+14座4500+19座5550"
27,1400,"5座经济1400+5座舒适1550+7座2800+9座3500+12座4450+14座4700+19座5750"
28,1450,"5座经济1450+5座舒适1600+7座2900+9座3650+12座4600+14座4850+19座5950"
29,1500,"5座经济1500+5座舒适1650+7座3000+9座3750+12座4750+14座5000+19座6150"
30,1550,"5座经济1550+5座舒适1700+7座3100+9座3900+12座4950+14座5200+19座6350"
31,1600,"5座经济1600+5座舒适1750+7座3200+9座4000+12座5100+14座5350+19座6550"
32,1650,"5座经济1650+5座舒适1800+7座3300+9座4150+12座5250+14座5500+19座6750"
33,1700,"5座经济1700+5座舒适1850+7座3400+9座4250+12座5400+14座5700+19座6950"
34,1750,"5座经济1750+5座舒适1900+7座3500+9座4400+12座5550+14座5850+19座7150"
35,1800,"5座经济1800+5座舒适1950+7座3600+9座4500+12座5700+14座6000+19座7350"
36,1850,"5座经济1850+5座舒适2050+7座3700+9座4650+12座5900+14座6200+19座7600"
37,1900,"5座经济1900+5座舒适2100+7座3800+9座4750+12座6050+14座6350+19座7800"
38,1950,"5座经济1950+5座舒适2150+7座3900+9座4900+12座6200+14座6500+19座8000"
39,2000,"5座经济2000+5座舒适2200+7座4000+9座5000+12座6350+14座6700+19座8200"
40,2050,"5座经济2050+5座舒适2250+7座4100+9座5150+12座6500+14座6850+19座8400"
41,2100,"5座经济2100+5座舒适2300+7座4200+9座5250+12座6650+14座7000+19座8600"
42,2150,"5座经济2150+5座舒适2350+7座4300+9座5400+12座6850+14座7200+19座8800"
43,2200,"5座经济2200+5座舒适2400+7座4400+9座5500+12座7000+14座7350+19座9000"
44,2250,"5座经济2250+5座舒适2450+7座4500+9座5650+12座7150+14座7500+19座9200"
45,2300,"5座经济2300+5座舒适2500+7座4600+9座5750+12座7300+14座7700+19座9400"
46,2350,"5座经济2350+5座舒适2550+7座4700+9座5900+12座7450+14座7850+19座9600"
47,2400,"5座经济2400+5座舒适2600+7座4800+9座6000+12座7600+14座8000+19座9800"
48,2450,"5座经济2450+5座舒适2700+7座4900+9座6150+12座7800+14座8200+19座10050"
49,2500,"5座经济2500+5座舒适2750+7座5000+9座6250+12座7950+14座8350+19座10250"
50,2550,"5座经济2550+5座舒适2800+7座5100+9座6400+12座8100+14座8500+19座10450"
51,2600,"5座经济2600+5座舒适2850+7座5200+9座6500+12座8250+14座8700+19座10650"
52,2650,"5座经济2650+5座舒适2900+7座5300+9座6650+12座8400+14座8850+19座10850"
53,2700,"5座经济2700+5座舒适2950+7座5400+9座6750+12座8550+14座9000+19座11050"
54,2750,"5座经济2750+5座舒适3000+7座5500+9座6900+12座8750+14座9200+19座11250"
55,2800,"5座经济2800+5座舒适3050+7座5600+9座7000+12座8900+14座9350+19座11450"
56,2850,"5座经济2850+5座舒适3100+7座5700+9座7150+12座9050+14座9500+19座11650"
57,2900,"5座经济2900+5座舒适3150+7座5800+9座7250+12座9200+14座9700+19座11850"
58,2950,"5座经济2950+5座舒适3200+7座5900+9座7400+12座9350+14座9850+19座12050"
59,3000,"5座经济3000+5座舒适3250+7座6000+9座7500+12座9500+14座10000+19座12250"
60,3050,"5座经济3050+5座舒适3350+7座6100+9座7650+12座9700+14座10200+19座12500"
61,3100,"5座经济3100+5座舒适3400+7座6200+9座7750+12座9850+14座10350+19座12700"
62,3150,"5座经济3150+5座舒适3450+7座6300+9座7900+12座10000+14座10500+19座12900"
63,3200,"5座经济3200+5座舒适3500+7座6400+9座8000+12座10150+14座10700+19座13100"
64,3250,"5座经济3250+5座舒适3550+7座6500+9座8150+12座10300+14座10850+19座13300"
65,3300,"5座经济3300+5座舒适3600+7座6600+9座8250+12座10450+14座11000+19座13500"
66,3350,"5座经济3350+5座舒适3650+7座6700+9座8400+12座10650+14座11200+19座13700"
67,3400,"5座经济3400+5座舒适3700+7座6800+9座8500+12座10800+14座11350+19座13900"
68,3450,"5座经济3450+5座舒适3750+7座6900+9座8650+12座10950+14座11500+19座14100"
69,3500,"5座经济3500+5座舒适3800+7座7000+9座8750+12座11100+14座11700+19座14300"
70,3550,"5座经济3550+5座舒适3850+7座7100+9座8900+12座11250+14座11850+19座14500"
71,3600,"5座经济3600+5座舒适3900+7座7200+9座9000+12座11400+14座12000+19座14700"
72,3650,"5座经济3650+5座舒适4000+7座7300+9座9150+12座11600+14座12200+19座14950"
73,3700,"5座经济3700+5座舒适4050+7座7400+9座9250+12座11750+14座12350+19座15150"
74,3750,"5座经济3750+5座舒适4100+7座7500+9座9400+12座11900+14座12500+19座15350"
75,3800,"5座经济3800+5座舒适4150+7座7600+9座9500+12座12050+14座12700+19座15550"
76,3850,"5座经济3850+5座舒适4200+7座7700+9座9650+12座12200+14座12850+19座15750"
77,3900,"5座经济3900+5座舒适4250+7座7800+9座9750+12座12350+14座13000+19座15950"
78,3950,"5座经济3950+5座舒适4300+7座7900+9座9900+12座12550+14座13200+19座16150"
79,4000,"5座经济4000+5座舒适4350+7座8000+9座10000+12座12700+14座13350+19座16350"
80,4050,"5座经济4050+5座舒适4400+7座8100+9座10150+12座12850+14座13500+19座16550"
81,4100,"5座经济4100+5座舒适4450+7座8200+9座10250+12座13000+14座13700+19座16750"
82,4150,"5座经济4150+5座舒适4500+7座8300+9座10400+12座13150+14座13850+19座16950"
83,4200,"5座经济4200+5座舒适4550+7座8400+9座10500+12座13300+14座14000+19座17150"
84,4250,"5座经济4250+5座舒适4650+7座8500+9座10650+12座13500+14座14200+19座17400"
85,4300,"5座经济4300+5座舒适4700+7座8600+9座10750+12座13650+14座14350+19座17600"
86,4350,"5座经济4350+5座舒适4750+7座8700+9座10900+12座13800+14座14500+19座17800"
87,4400,"5座经济4400+5座舒适4800+7座8800+9座11000+12座13950+14座14700+19座18000"
88,4450,"5座经济4450+5座舒适4850+7座8900+9座11150+12座14100+14座14850+19座18200"
89,4500,"5座经济4500+5座舒适4900+7座9000+9座11250+12座14250+14座15000+19座18400"
90,4550,"5座经济4550+5座舒适4950+7座9100+9座11400+12座14450+14座15200+19座18600"
91,4600,"5座经济4600+5座舒适5000+7座9200+9座11500+12座14600+14座15350+19座18800"
92,4650,"5座经济4650+5座舒适5050+7座9300+9座11650+12座14750+14座15500+19座19000"
93,4700,"5座经济4700+5座舒适5100+7座9400+9座11750+12座14900+14座15700+19座19200"
94,4750,"5座经济4750+5座舒适5150+7座9500+9座11900+12座15050+14座15850+19座19400"
95,4800,"5座经济4800+5座舒适5200+7座9600+9座12000+12座15200+14座16000+19座19600"
